id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_customuser,Can add user
22,6,change_customuser,Can change user
23,6,delete_customuser,Can delete user
24,6,view_customuser,Can view user
25,7,add_contract,Can add contract
26,7,change_contract,Can change contract
27,7,delete_contract,Can delete contract
28,7,view_contract,Can view contract
29,8,add_datareport,Can add data report
30,8,change_datareport,Can change data report
31,8,delete_datareport,Can delete data report
32,8,view_datareport,Can view data report
33,9,add_performer,Can add performer
34,9,change_performer,Can change performer
35,9,delete_performer,Can delete performer
36,9,view_performer,Can view performer
37,10,add_staffs,Can add staffs
38,10,change_staffs,Can change staffs
39,10,delete_staffs,Can delete staffs
40,10,view_staffs,Can view staffs
41,11,add_adminhod,Can add admin hod
42,11,change_adminhod,Can change admin hod
43,11,delete_adminhod,Can delete admin hod
44,11,view_adminhod,Can view admin hod
45,12,add_compasscredentials,Can add compass credentials
46,12,change_compasscredentials,Can change compass credentials
47,12,delete_compasscredentials,Can delete compass credentials
48,12,view_compasscredentials,Can view compass credentials
49,13,add_contract_details,Can add contract_ details
50,13,change_contract_details,Can change contract_ details
51,13,delete_contract_details,Can delete contract_ details
52,13,view_contract_details,Can view contract_ details
53,14,add_superannuationdetails,Can add superannuation details
54,14,change_superannuationdetails,Can change superannuation details
55,14,delete_superannuationdetails,Can delete superannuation details
56,14,view_superannuationdetails,Can view superannuation details
57,15,add_units_details,Can add units_ details
58,15,change_units_details,Can change units_ details
59,15,delete_units_details,Can delete units_ details
60,15,view_units_details,Can view units_ details
61,16,add_nonsuperannuable,Can add non superannuable
62,16,change_nonsuperannuable,Can change non superannuable
63,16,delete_nonsuperannuable,Can delete non superannuable
64,16,view_nonsuperannuable,Can view non superannuable
