id,app,name,applied
1,contenttypes,0001_initial,2023-11-24 21:06:37.092311
2,contenttypes,0002_remove_content_type_name,2023-11-24 21:06:37.118311
3,auth,0001_initial,2023-11-24 21:06:37.161341
4,auth,0002_alter_permission_name_max_length,2023-11-24 21:06:37.185313
5,auth,0003_alter_user_email_max_length,2023-11-24 21:06:37.198309
6,auth,0004_alter_user_username_opts,2023-11-24 21:06:37.219309
7,auth,0005_alter_user_last_login_null,2023-11-24 21:06:37.236309
8,auth,0006_require_contenttypes_0002,2023-11-24 21:06:37.249311
9,auth,0007_alter_validators_add_error_messages,2023-11-24 21:06:37.266312
10,auth,0008_alter_user_username_max_length,2023-11-24 21:06:37.285311
11,auth,0009_alter_user_last_name_max_length,2023-11-24 21:06:37.302312
12,auth,0010_alter_group_name_max_length,2023-11-24 21:06:37.328314
13,auth,0011_update_proxy_permissions,2023-11-24 21:06:37.346309
14,auth,0012_alter_user_first_name_max_length,2023-11-24 21:06:37.379310
19,sessions,0001_initial,2023-11-24 21:06:37.535312
20,dashboard,0002_auto_20240319_0701,2024-03-19 07:02:00.785535
21,dashboard,0003_auto_20240319_1711,2024-03-20 09:12:01.550522
22,dashboard,0004_auto_20240320_0908,2024-03-20 09:12:01.556517
24,dashboard,0003_contract_details,2024-03-25 20:53:16.254965
25,dashboard,0004_contract_contract_udas,2024-03-25 20:55:58.670601
26,dashboard,0005_superannuationdetails,2024-03-27 10:39:12.602881
27,dashboard,0006_auto_20240327_1102,2024-03-27 11:02:44.905931
28,dashboard,0007_units_details,2024-03-27 11:54:57.415757
29,dashboard,0008_nonsuperannuable,2024-03-27 13:25:09.407942
30,dashboard,0009_alter_customuser_first_name,2024-04-16 15:23:37.298385
